id	word_en	word_jp	yomigana	content_type	set	level	requiresAudio	audio_file	requiresImage	img_file	metadata
1	blackboard	黒板	こくばん	vocab	1	1	TRUE	audio/apple.mp3	TRUE	blackboard.jpg	{"hint":"それは教室で使われ、チョークで書くことができます。"}
2	cup	コップ	コップ	vocab	1	1	TRUE	audio/apple.mp4	TRUE	cup.jpg	{"hint":"それは飲み物を入れるのに使われます。"}
3	hair	髪	かみ	vocab	1	1	TRUE	audio/apple.mp5	TRUE	hair.jpg	{"hint":"それは頭に生えています。"}
4	table	テーブル	テーブル	vocab	1	1	TRUE	audio/apple.mp6	TRUE	table.jpg	{"hint":"それは物を置いたり、食事をするために使います。"}
5	party	パーティー	パーティー	vocab	1	1	TRUE	audio/apple.mp7	TRUE	party.jpg	{"hint":"それは多くの人が集まってお祝いするものです。"}
6	table	テーブル	テーブル	vocab	1	1	TRUE	audio/apple.mp8	TRUE	table.jpg	{"hint":"それは物を置いたり、食事をするために使います。"}
7	door	ドア	ドア	vocab	1	1	TRUE	audio/apple.mp9	TRUE	door.jpg	{"hint":"それは部屋に出入りするときに開けます。"}
8	party	パーティー	パーティー	vocab	1	1	TRUE	audio/apple.mp10	TRUE	party.jpg	{"hint":"それは多くの人が集まってお祝いするものです。"}
9	door	ドア	ドア	vocab	1	1	TRUE	audio/apple.mp11	TRUE	door.jpg	{"hint":"それは部屋に出入りするときに開けます。"}
10	window	窓	まど	vocab	1	1	TRUE	audio/apple.mp12	TRUE	window.jpg	{"hint":"それは光や風を取り込むために開けます。"}
11	sky	空	そら	vocab	1	1	TRUE	audio/apple.mp13	TRUE	sky.jpg	{"hint":"それはあなたの頭より高いところにあります。"}
12	scissors	はさみ	はさみ	vocab	1	1	TRUE	audio/apple.mp14	TRUE	scissors.jpg	{"hint":"それは紙や布を切る道具です。"}
13	pencil	鉛筆	えんぴつ	vocab	1	1	TRUE	audio/apple.mp15	TRUE	pencil.jpg	{"hint":"それは文字や絵を書く道具です。"}
14	ruler	定規	じょうぎ	vocab	1	1	TRUE	audio/apple.mp16	TRUE	ruler.jpg	{"hint":"それは物の長さを測る道具です。"}
15	eraser	消しゴム	けしゴム	vocab	1	1	TRUE	audio/apple.mp17	TRUE	eraser.jpg	{"hint":"それは鉛筆で書いた文字を消す道具です。"}
16	newspaper	新聞	しんぶん	vocab	1	1	TRUE	audio/apple.mp18	TRUE	newspaper.jpg	{"hint":"それは毎日のニュースや情報を載せています。"}
17	flower	花	はな	vocab	1	1	TRUE	audio/apple.mp19	TRUE	flower.jpg	{"hint":"それは美しく、香りがあることも多いです。"}
18	tree	木	き	vocab	1	1	TRUE	audio/apple.mp20	TRUE	tree.jpg	{"hint":"それは木陰を作り、葉を広げて成長します。"}
19	glass of water	水のコップ	みずのコップ	vocab	1	1	TRUE	audio/apple.mp21	TRUE	glass-of-water.jpg	{"hint":"それは透明な飲み物が入ったグラスです。"}
20	water	水	みず	vocab	1	1	TRUE	audio/apple.mp22	TRUE	water.jpg	{"hint":"それは生命に欠かせない透明な液体です。"}
21	address	住所	じゅうしょ	vocab	1	1	TRUE	audio/apple.mp23	TRUE	address.jpg	{"hint":"それは場所を示すための情報です。"}
22	Bag	バッグ	バッグ	vocab	2	2	TRUE	audio/apple.mp24	TRUE	bag.jpg	{"hint":"それは物を持ち運ぶために使われます。"}
23	hand	手	て	vocab	2	2	TRUE	audio/apple.mp25	TRUE	hand.jpg	{"hint":"それは腕の先にあり、物を掴むのに使います。"}
24	both hands	両手	りょうて	vocab	2	2	TRUE	audio/apple.mp26	TRUE	both-hands.png	{"hint":"それは左右にある2つの手のことです。"}
25	computer	パソコン	パソコン	vocab	2	2	TRUE	audio/apple.mp27	TRUE	computer.jpg	{"hint":"それは情報処理やインターネットに使われます。"}
26	shop	お店	おみせ	vocab	2	2	TRUE	audio/apple.mp28	TRUE	shop.jpg	{"hint":"それは物やサービスを売るお店です。"}
27	online shopping	オンラインショッピング	オンラインショッピング	vocab	2	2	TRUE	audio/apple.mp29	TRUE	online-shopping.png	{"hint":"それはインターネットで買い物をすることです。"}
28	letter	手紙	てがみ	vocab	2	2	TRUE	audio/apple.mp30	TRUE	letter.jpg	{"hint":"それは手紙や文字を書いて伝えます。"}
29	pool	プール	プール	vocab	2	2	TRUE	audio/apple.mp31	TRUE	pool.jpg	{"hint":"それは水が溜められており、水泳などができます。"}
30	breakfast	朝食	ちょうしょく	vocab	2	2	TRUE	audio/apple.mp32	TRUE	breakfast.jpg	{"hint":"それは一日の最初に食べる食事です。"}
31	coffee	コーヒー	コーヒー	vocab	2	2	TRUE	audio/apple.mp33	TRUE	coffee.jpg	{"hint":"それは香りのよい飲み物で、カフェインが含まれています。"}
32	lunch	昼食	ちゅうしょく	vocab	2	2	TRUE	audio/apple.mp34	TRUE	lunch.jpg	{"hint":"それは昼に食べる食事です。"}
33	dinner	夕食	ゆうしょく	vocab	2	2	TRUE	audio/apple.mp35	TRUE	dinner.jpg	{"hint":"それは夕方や夜に食べる食事です。"}
34	salt	塩	しお	vocab	2	2	TRUE	audio/apple.mp36	TRUE	salt.jpg	{"hint":"それは料理に使われる白い調味料です。"}
35	sugar	砂糖	さとう	vocab	2	2	TRUE	audio/apple.mp37	TRUE	sugar.jpg	{"hint":"それは甘味を加えるために使う白い結晶です。"}
36	airport	空港	くうこう	vocab	2	2	TRUE	audio/apple.mp38	TRUE	airport.jpg	{"hint":"それは飛行機が離着陸する場所です。"}
37	hospital	病院	びょういん	vocab	2	2	TRUE	audio/apple.mp39	TRUE	hospital.jpg	{"hint":"それは怪我や病気の人を治療する施設です。"}
38	 park	公園	こうえん	vocab	2	2	TRUE	audio/apple.mp40	TRUE	park.jpg	{"hint":"それは木々や草花があり、多くの人がくつろげる場所です。"}
39	bench	ベンチ	ベンチ	vocab	3	3	TRUE	audio/apple.mp41	TRUE	bench.png	{"hint":"それは公園や道端などに置かれ、人が座るためのものです。"}
40	bike	自転車	じてんしゃ	vocab	3	3	TRUE	audio/apple.mp42	TRUE	bike.png	{"hint":"それはペダルをこいで進む二輪の乗り物です。"}
41	bus	バス	バス	vocab	3	3	TRUE	audio/apple.mp43	TRUE	bus.png	{"hint":"それは多くの乗客を乗せて移動する大型の乗り物です。"}
42	camera	カメラ	カメラ	vocab	3	3	TRUE	audio/apple.mp44	TRUE	camera.png	{"hint":"それは写真や映像を撮るための装置です。"}
43	card	カード	カード	vocab	3	3	TRUE	audio/apple.mp45	TRUE	card.png	{"hint":"それはメッセージや情報を伝えるための小さな紙です。"}
44	clothes	服	ふく	vocab	3	3	TRUE	audio/apple.mp46	TRUE	clothes.png	{"hint":"それは身体に身につけるものの総称です。"}
45	coat	コート	コート	vocab	3	3	TRUE	audio/apple.mp47	TRUE	coat.png	{"hint":"それは寒さを防ぐために着る厚手の上着です。"}
46	colored pencils	色鉛筆	いろえんぴつ	vocab	3	3	TRUE	audio/apple.mp48	TRUE	colored pencils.png	{"hint":"それは色のついた芯で絵や文字を書く道具です。"}
47	comic book	漫画本	まんがほん	vocab	3	3	TRUE	audio/apple.mp49	TRUE	comic book.png	{"hint":"それは漫画のストーリーやイラストをまとめた本です。"}
48	dictionary	辞書	じしょ	vocab	3	3	TRUE	audio/apple.mp50	TRUE	dictionary.png	{"hint":"それは単語の意味を調べるための本です。"}
49	dishes	食器	しょっき	vocab	3	3	TRUE	audio/apple.mp51	TRUE	dishes.png	{"hint":"それは料理を盛り付けたり、食事で使う食器です。"}
50	doll	人形	にんぎょう	vocab	3	3	TRUE	audio/apple.mp52	TRUE	doll.png	{"hint":"それは人や動物などをかたどった人形です。"}
51	dress	ドレス	ドレス	vocab	3	3	TRUE	audio/apple.mp53	TRUE	dress.png	{"hint":"それは女性用の一続きの衣服です。"}
52	drums	ドラム	ドラム	vocab	3	3	TRUE	audio/apple.mp54	TRUE	drums.png	{"hint":"それは打って音を出す楽器の一種です。"}
53	gift	贈り物	おくりもの	vocab	3	3	TRUE	audio/apple.mp55	TRUE	gift.png	{"hint":"それは人に贈るプレゼントです。"}
54	glasses	メガネ	メガネ	vocab	3	3	TRUE	audio/apple.mp56	TRUE	glasses.png	{"hint":"それは視力補正や目の保護のために使われます。"}
55	jacket	ジャケット	ジャケット	vocab	4	4	TRUE	audio/apple.mp57	TRUE	jacket.png	{"hint":"それは上半身を覆うために着る衣類です。"}
56	jeans	ジーンズ	ジーンズ	vocab	4	4	TRUE	audio/apple.mp58	TRUE	jeans.png	{"hint":"丈夫なデニム生地で作られたズボンです。"}
57	knife	ナイフ	ナイフ	vocab	4	4	TRUE	audio/apple.mp59	TRUE	knife.png	{"hint":"切るための道具で、刃が鋭いです。"}
58	movie	映画	えいが	vocab	4	4	TRUE	audio/apple.mp60	TRUE	movie.png	{"hint":"映像作品で、映画館やテレビで観られます。"}
59	phone	電話	でんわ	vocab	4	4	TRUE	audio/apple.mp61	TRUE	phone.png	{"hint":"通話やメッセージのやり取りに使われる機器です。"}
60	piano	ピアノ	ピアノ	vocab	4	4	TRUE	audio/apple.mp62	TRUE	piano.png	{"hint":"鍵盤を弾いて音を出す楽器です。"}
61	picture	絵／写真	え/しゃしん	vocab	4	4	TRUE	audio/apple.mp63	TRUE	picture.png	{"hint":"描かれた絵、または撮影された写真のことです。"}
62	plane	飛行機	ひこうき	vocab	4	4	TRUE	audio/apple.mp64	TRUE	plane.png	{"hint":"空を飛ぶ乗り物です。"}
63	radio	ラジオ	ラジオ	vocab	4	4	TRUE	audio/apple.mp65	TRUE	radio.png	{"hint":"音声放送を受信する機器です。"}
64	rat	ネズミ	ネズミ	vocab	4	4	TRUE	audio/apple.mp66	TRUE	rat.png	{"hint":"小さなげっ歯類の動物です。"}
65	shoes	靴	くつ	vocab	4	4	TRUE	audio/apple.mp67	TRUE	shoes.png	{"hint":"足を保護するために履くものです。"}
66	sweater	セーター	セーター	vocab	4	4	TRUE	audio/apple.mp68	TRUE	sweater.png	{"hint":"毛糸などで編まれた、長袖の上着です。"}
67	textbook	教科書	きょうかしょ	vocab	4	4	TRUE	audio/apple.mp69	TRUE	textbook.png	{"hint":"学習する内容をまとめた本です。"}
68	toy	おもちゃ	おもちゃ	vocab	4	4	TRUE	audio/apple.mp70	TRUE	toy.png	{"hint":"子供が遊ぶための道具です。"}
69	train	電車	でんしゃ	vocab	4	4	TRUE	audio/apple.mp71	TRUE	train.png	{"hint":"線路上を走る公共交通機関です。"}
70	t-shirt	Tシャツ	Tシャツ	vocab	4	4	TRUE	audio/apple.mp72	TRUE	t-shirt.png	{"hint":"短い袖を持つカジュアルなシャツです。"}
71	video	ビデオ	ビデオ	vocab	4	4	TRUE	audio/apple.mp73	TRUE	video.png	{"hint":"映像や音声を収録・再生するメディアです。"}
72	wood	木材	もくざい	vocab	4	4	TRUE	audio/apple.mp74	TRUE	wood.png	{"hint":"木から得られる素材で、様々な用途に使われます。"}
